# {"t_start": 1550232852.1363714, "env_id": "AirRaidNoFrameskip-v4"} 
r,l,t
525.0,602,3.677154
800.0,860,4.955512
50.0,231,5.298272
925.0,757,6.452686
1725.0,1192,8.34228
625.0,544,9.177273
1375.0,1252,11.243105
300.0,382,11.893734
475.0,328,12.481291
125.0,127,12.685944
300.0,424,13.385202
150.0,232,13.750948
1975.0,1738,17.276931
100.0,301,17.908812
650.0,667,19.056126
475.0,442,23.702233
175.0,355,41.289606
375.0,355,57.346404
475.0,539,82.479743
275.0,295,95.985002
1150.0,993,140.707269
575.0,513,162.684161
225.0,232,172.709129
200.0,337,187.494477
500.0,520,210.110909
200.0,234,220.189121
725.0,627,247.489447
125.0,339,262.3403
500.0,303,275.750648
250.0,151,282.245411
325.0,435,301.314
500.0,379,317.663672
275.0,170,326.075769
250.0,186,335.254451
225.0,324,350.636996
300.0,322,365.443925
0.0,280,378.083812
300.0,387,397.321308
600.0,623,427.61335
75.0,267,440.416042
725.0,600,470.29229
300.0,280,483.9081
125.0,152,491.85513
525.0,345,508.749504
225.0,254,520.760526
250.0,308,535.463421
625.0,398,553.845942
600.0,353,570.462259
625.0,432,591.381851
250.0,272,603.688775
125.0,186,612.531719
25.0,178,621.104406
725.0,374,638.401071
350.0,305,652.733053
600.0,449,672.775232
275.0,262,684.49241
450.0,503,709.330972
250.0,333,725.460186
150.0,367,743.782009
300.0,464,767.316344
650.0,447,792.02512
325.0,364,809.204743
950.0,833,851.29672
875.0,864,889.995107
2950.0,2048,982.258691
100.0,433,1001.533206
300.0,376,1019.115024
1275.0,925,1061.212554
125.0,260,1072.953304
275.0,286,1085.43945
1325.0,1220,1141.571259
675.0,615,1171.61565
300.0,242,1183.41937
175.0,526,1209.526207
300.0,393,1226.943081
275.0,420,1247.519155
1075.0,659,1278.42639
300.0,313,1292.434704
425.0,460,1314.35503
450.0,353,1331.25966
925.0,659,1362.434458
650.0,686,1394.504372
1250.0,822,1432.733013
625.0,682,1466.547299
100.0,245,1478.06633
300.0,298,1493.353941
900.0,759,1530.937597
650.0,692,1565.805412
1775.0,1162,1621.377217
800.0,637,1649.072601
150.0,153,1655.742304
325.0,428,1674.499716
1725.0,1594,1744.713421
1075.0,1126,1794.548528
475.0,481,1815.563889
1375.0,1249,1869.666625
375.0,466,1890.813551
650.0,673,1923.1077
525.0,470,1945.896753
700.0,771,1981.095047
500.0,597,2009.501676
800.0,746,2043.654876
900.0,502,2067.765208
700.0,983,2114.424861
825.0,631,2143.16414
