# {"t_start": 1550232858.508675, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
210.0,435,4.002567
189.0,543,4.810117
231.0,687,6.005903
126.0,431,6.881693
231.0,535,7.689635
336.0,673,9.020032
420.0,802,10.26168
294.0,677,11.303704
189.0,613,12.48983
336.0,709,13.660475
231.0,789,14.96858
273.0,727,16.404305
357.0,782,17.732449
378.0,851,19.185342
147.0,350,19.797537
189.0,679,28.306798
315.0,666,61.826682
189.0,647,93.084459
378.0,690,123.128853
315.0,651,150.885642
210.0,625,177.35006
336.0,770,209.801625
189.0,737,240.688198
336.0,638,267.88611
210.0,445,286.925643
378.0,797,322.727312
189.0,483,344.764381
189.0,486,365.968648
336.0,603,395.124971
231.0,604,423.680897
189.0,415,442.465628
168.0,381,459.617106
378.0,634,488.433428
315.0,573,514.010204
315.0,533,537.003432
294.0,497,558.853033
273.0,542,582.632262
357.0,647,610.630681
315.0,573,635.933449
189.0,495,658.304307
189.0,655,687.952919
147.0,383,705.866796
252.0,620,733.541399
315.0,626,763.459965
273.0,573,791.00099
231.0,571,817.253854
336.0,593,845.65597
336.0,531,869.616407
294.0,704,900.337191
231.0,571,924.947897
252.0,481,946.669367
273.0,557,970.459134
378.0,698,1000.358744
378.0,589,1026.026894
210.0,499,1047.4932
273.0,479,1067.844162
546.0,734,1099.39489
210.0,510,1121.111575
378.0,749,1155.44108
273.0,377,1172.720352
189.0,578,1199.270411
399.0,748,1232.234188
273.0,593,1260.023193
231.0,671,1292.09348
378.0,637,1321.35864
189.0,549,1347.73775
105.0,404,1366.118481
168.0,475,1387.903831
189.0,632,1415.847363
462.0,618,1444.956804
252.0,507,1467.764006
294.0,571,1495.081182
252.0,576,1524.049791
189.0,660,1555.709032
231.0,605,1584.33722
168.0,484,1605.587869
189.0,540,1628.651084
231.0,487,1649.261195
189.0,459,1668.963313
273.0,654,1697.148184
315.0,459,1716.680374
336.0,667,1744.952526
252.0,721,1775.589305
168.0,450,1794.686631
231.0,635,1821.709672
189.0,415,1839.271385
231.0,547,1863.558267
231.0,559,1887.942394
273.0,608,1916.147606
189.0,411,1935.065556
273.0,580,1962.217234
315.0,626,1990.684978
189.0,469,2012.940726
210.0,469,2034.599705
147.0,435,2054.66248
378.0,834,2093.703206
189.0,606,2120.959918
231.0,631,2150.414539
336.0,699,2181.008798
294.0,415,2199.470155
336.0,605,2227.538173
504.0,763,2261.738297
504.0,735,2293.567297
189.0,592,2326.868534
252.0,525,2349.292962
441.0,742,2382.328501
189.0,393,2399.11984
189.0,510,2421.040914
231.0,598,2446.934231
210.0,631,2473.954995
315.0,699,2506.411379
273.0,702,2538.805048
189.0,477,2559.327247
378.0,615,2586.58389
210.0,593,2612.309977
315.0,677,2641.216909
168.0,382,2659.771404
231.0,576,2688.103626
168.0,414,2706.283153
252.0,641,2734.368721
420.0,813,2771.530504
189.0,579,2797.869863
210.0,735,2830.032521
252.0,628,2856.947154
189.0,397,2874.393652
168.0,590,2900.359133
357.0,685,2931.021255
231.0,749,2963.884166
483.0,837,3001.551036
294.0,668,3031.738237
126.0,351,3048.168897
315.0,608,3074.426747
210.0,603,3100.010255
399.0,589,3128.089084
504.0,822,3163.234052
525.0,826,3200.51996
210.0,493,3224.636406
357.0,699,3258.320201
189.0,512,3280.866347
210.0,494,3302.757909
315.0,739,3334.457092
273.0,670,3364.33904
252.0,630,3392.381143
231.0,773,3426.168027
189.0,601,3452.223902
231.0,736,3485.46807
189.0,550,3509.301465
399.0,702,3541.652431
273.0,729,3575.508049
399.0,773,3609.918535
105.0,213,3619.827631
357.0,738,3652.890882
294.0,594,3678.77975
168.0,495,3700.423638
294.0,671,3730.548166
189.0,414,3748.136217
189.0,702,3778.392163
336.0,546,3802.665318
399.0,595,3828.59675
252.0,703,3858.79167
336.0,654,3887.304037
189.0,476,3907.795128
210.0,575,3932.564811
252.0,540,3956.173887
252.0,530,3978.889931
378.0,977,4022.027233
189.0,412,4039.676891
399.0,686,4069.232741
273.0,798,4103.957933
336.0,639,4132.804076
147.0,381,4151.92453
189.0,557,4176.40969
63.0,445,4195.712313
252.0,619,4223.162667
336.0,680,4253.028166
336.0,616,4280.487694
231.0,702,4312.029425
273.0,938,4352.789621
273.0,929,4393.027751
378.0,692,4422.770797
273.0,669,4452.461118
336.0,894,4491.503414
210.0,649,4520.047736
189.0,521,4543.376645
336.0,773,4577.551987
378.0,766,4611.782135
336.0,635,4639.064653
441.0,707,4670.019279
462.0,1122,4719.641015
231.0,659,4747.988764
420.0,887,4787.202388
378.0,732,4819.703502
273.0,722,4851.418937
252.0,897,4891.062498
273.0,665,4920.562375
231.0,574,4945.40333
336.0,636,4973.449136
189.0,537,4996.826913
210.0,810,5032.939595
399.0,820,5068.359337
399.0,898,5107.40844
294.0,678,5136.708571
504.0,899,5175.165189
252.0,507,5196.736421
231.0,778,5230.949291
357.0,737,5262.970027
231.0,554,5287.053236
252.0,708,5318.034178
273.0,658,5346.737183
210.0,520,5369.688528
252.0,533,5393.409242
273.0,416,5411.609188
168.0,722,5443.046419
189.0,718,5474.870263
273.0,574,5499.724869
357.0,839,5536.150733
336.0,935,5576.575152
378.0,849,5614.176084
273.0,545,5638.347089
273.0,703,5669.53303
252.0,508,5691.785512
315.0,769,5725.635993
273.0,608,5752.877682
189.0,512,5775.23326
231.0,451,5795.119408
189.0,672,5825.212643
273.0,555,5849.283129
189.0,595,5875.60744
189.0,630,5902.835666
315.0,530,5926.741124
168.0,295,5939.727811
189.0,489,5960.890285
210.0,603,5987.196146
294.0,642,6015.10726
