# {"t_start": 1550232864.192254, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
840.0,466,3.410199
440.0,325,3.895086
340.0,323,4.381838
700.0,404,4.985821
440.0,424,5.610924
1600.0,527,6.392709
660.0,404,7.00736
900.0,529,7.816101
1500.0,373,8.38661
760.0,368,8.957129
720.0,408,9.61863
900.0,454,10.353938
860.0,580,11.254339
1500.0,573,12.163733
660.0,359,12.737087
760.0,404,13.403016
400.0,316,13.933779
480.0,364,14.535257
1440.0,395,15.19871
740.0,431,15.928256
1660.0,506,16.782705
960.0,478,17.589175
680.0,406,18.285917
440.0,353,26.269043
920.0,305,39.776073
660.0,483,62.11344
600.0,301,75.582895
1080.0,460,97.549324
1140.0,494,119.912555
40.0,399,138.262558
1040.0,471,159.740035
480.0,371,176.813247
320.0,324,190.742999
380.0,396,207.996688
1180.0,503,230.292831
1000.0,472,251.789262
940.0,427,270.464962
1240.0,371,287.087446
900.0,447,307.149442
400.0,429,327.49868
340.0,450,347.44745
840.0,457,367.281647
420.0,334,382.656539
400.0,337,397.882189
440.0,372,414.916834
640.0,367,431.760826
460.0,362,448.553769
560.0,353,465.049974
840.0,424,484.854573
900.0,431,504.099424
620.0,360,520.264419
440.0,403,538.15615
120.0,399,555.635849
100.0,289,568.114745
1260.0,579,593.963545
1040.0,434,613.614619
420.0,370,630.727312
1380.0,477,652.489122
1620.0,456,672.806226
440.0,453,693.000074
720.0,388,710.829888
80.0,411,729.070768
480.0,398,746.739521
560.0,372,763.597222
500.0,443,783.996531
460.0,341,799.237949
840.0,453,819.362141
500.0,378,836.03214
360.0,314,850.200394
480.0,397,868.032108
600.0,368,884.526263
420.0,381,901.15957
620.0,494,923.447213
280.0,412,942.878298
640.0,475,964.289124
160.0,289,976.996005
680.0,356,992.58706
1540.0,363,1009.396829
740.0,394,1027.871541
500.0,417,1046.711367
860.0,320,1061.211571
880.0,427,1080.669819
400.0,386,1097.774268
220.0,543,1122.018288
0.0,594,1148.648072
580.0,416,1167.226775
1320.0,350,1183.162934
240.0,355,1198.891403
420.0,411,1216.818052
400.0,398,1234.386521
1500.0,446,1255.487725
720.0,395,1273.251466
1820.0,479,1295.655538
560.0,486,1317.474658
920.0,422,1336.277124
1280.0,466,1357.38781
720.0,607,1385.55248
900.0,556,1411.040598
960.0,535,1435.884418
620.0,486,1458.456462
800.0,374,1475.400043
760.0,450,1496.230246
600.0,508,1518.653208
220.0,433,1537.480571
400.0,423,1557.71248
1600.0,455,1577.832116
680.0,448,1597.890053
580.0,463,1618.686461
1120.0,468,1640.136806
500.0,331,1654.938236
300.0,301,1668.486223
880.0,478,1690.814967
640.0,441,1710.774556
960.0,507,1733.872537
500.0,465,1754.622612
540.0,815,1791.6834
220.0,453,1812.104892
260.0,335,1827.122778
920.0,687,1858.29686
820.0,456,1878.81698
540.0,331,1893.585511
920.0,478,1914.676513
320.0,390,1931.86576
1020.0,1126,1981.435974
680.0,407,1999.635468
760.0,862,2038.403008
740.0,637,2067.492138
480.0,358,2083.589298
1780.0,529,2107.343777
680.0,374,2124.344323
360.0,394,2142.051692
860.0,356,2158.07619
360.0,305,2172.084659
340.0,390,2189.721431
340.0,317,2204.195167
1340.0,923,2245.708771
680.0,502,2268.478605
60.0,300,2281.863453
380.0,526,2313.069667
580.0,581,2339.718327
720.0,461,2360.864691
2340.0,488,2383.90471
380.0,353,2399.874222
920.0,1260,2457.748097
740.0,411,2476.261571
1140.0,446,2496.41258
700.0,569,2522.201314
420.0,321,2537.138609
240.0,433,2557.359522
500.0,445,2578.020264
720.0,463,2599.331684
1040.0,473,2621.259817
880.0,675,2652.551374
440.0,457,2673.307811
860.0,481,2695.441371
80.0,316,2710.918245
400.0,674,2742.607471
1020.0,490,2765.097264
260.0,502,2787.277102
1200.0,451,2807.476941
480.0,412,2826.315301
760.0,420,2845.758103
700.0,467,2867.618602
880.0,497,2890.161444
1640.0,492,2912.234197
360.0,397,2930.306612
880.0,497,2952.359719
480.0,377,2969.291798
1000.0,571,2994.739186
520.0,506,3017.675809
480.0,491,3040.309248
1700.0,540,3064.874907
120.0,541,3089.257145
440.0,458,3109.853069
660.0,412,3128.755991
420.0,421,3148.069032
740.0,581,3174.211852
120.0,386,3191.772712
780.0,519,3217.258331
680.0,436,3237.152892
1460.0,517,3261.224229
860.0,502,3284.07285
580.0,372,3300.93713
720.0,447,3320.932845
440.0,413,3339.388675
1420.0,516,3362.798018
1120.0,520,3386.566334
420.0,497,3409.317389
1000.0,544,3433.686404
1400.0,1064,3482.021207
280.0,518,3505.437353
300.0,469,3526.83676
720.0,514,3550.467552
380.0,392,3568.904687
780.0,524,3592.724008
600.0,392,3609.662479
1060.0,895,3648.87656
60.0,307,3662.761676
600.0,505,3685.980748
1400.0,776,3721.997102
640.0,453,3743.202142
400.0,466,3764.553561
880.0,416,3783.834656
320.0,501,3806.125566
1680.0,445,3826.036345
1240.0,485,3847.645646
500.0,503,3871.311139
1600.0,687,3902.724242
700.0,621,3930.604132
660.0,518,3953.982666
1180.0,729,3986.576712
820.0,389,4005.489912
960.0,488,4027.819092
1320.0,585,4055.367294
660.0,497,4077.728042
520.0,453,4098.996965
840.0,408,4117.353249
1100.0,599,4146.252492
1420.0,505,4169.279041
380.0,534,4193.992419
140.0,429,4213.710817
1980.0,592,4240.72859
560.0,568,4266.713326
620.0,512,4289.722049
1980.0,504,4312.989074
620.0,500,4335.22254
2920.0,443,4355.340946
660.0,577,4381.397568
380.0,538,4405.492162
640.0,460,4426.079859
640.0,429,4444.733054
660.0,522,4468.186939
420.0,372,4484.985746
80.0,1028,4530.284399
840.0,621,4558.339201
1040.0,761,4593.75153
1160.0,557,4619.707787
900.0,438,4640.154738
400.0,575,4666.819331
940.0,525,4690.812485
780.0,651,4720.880626
520.0,477,4742.443136
440.0,447,4762.754877
1320.0,406,4781.236935
580.0,503,4804.43221
640.0,771,4840.228166
540.0,667,4871.790178
680.0,522,4896.098684
660.0,501,4919.616368
440.0,442,4939.609074
240.0,401,4957.744042
840.0,604,4985.228984
460.0,510,5008.500823
1000.0,622,5036.769735
640.0,470,5058.888722
600.0,601,5086.074453
1160.0,526,5109.890617
640.0,500,5132.624088
940.0,702,5164.825864
1040.0,652,5194.480206
300.0,503,5217.525577
480.0,511,5240.908761
1780.0,536,5265.482466
1820.0,626,5294.113805
540.0,528,5319.044156
580.0,584,5345.482972
360.0,525,5369.933904
1040.0,624,5398.488062
980.0,591,5425.504537
1860.0,686,5456.321103
1280.0,651,5485.784118
1060.0,641,5515.799324
680.0,420,5534.719354
740.0,525,5559.09332
900.0,591,5586.118278
340.0,466,5607.661699
720.0,497,5630.97643
260.0,730,5664.653167
80.0,402,5683.50571
760.0,627,5712.398514
1020.0,1172,5766.421813
400.0,540,5791.667472
780.0,738,5824.712348
1340.0,535,5848.702096
1300.0,458,5869.679874
960.0,433,5889.643831
600.0,621,5917.618605
160.0,541,5942.509823
1160.0,493,5965.110228
740.0,512,5989.314992
440.0,619,6017.573574
380.0,352,6033.619887
380.0,576,6059.740633
700.0,664,6089.421952
840.0,909,6130.655364
900.0,549,6155.326042
640.0,651,6184.906924
1860.0,590,6212.089968
1400.0,697,6244.241199
500.0,736,6277.844216
1300.0,815,6314.885729
340.0,538,6339.587804
800.0,450,6359.913486
860.0,788,6395.911019
1720.0,580,6421.398099
860.0,637,6450.992862
680.0,420,6470.023826
620.0,522,6493.751171
780.0,546,6518.339024
920.0,678,6550.033193
500.0,524,6574.73437
880.0,593,6603.243795
540.0,525,6627.208011
880.0,377,6644.453997
1420.0,774,6680.249624
720.0,577,6706.395086
400.0,563,6731.610042
1160.0,1297,6790.029154
740.0,559,6815.659878
480.0,654,6845.406734
860.0,419,6864.624377
820.0,491,6887.703029
20.0,611,6915.497272
640.0,459,6936.247152
620.0,492,6958.66204
720.0,753,6992.743384
1200.0,553,7018.067962
180.0,389,7036.101964
860.0,497,7058.840799
0.0,379,7075.944333
1520.0,379,7093.513246
520.0,698,7126.168587
820.0,806,7163.451189
3060.0,1343,7224.903299
720.0,400,7243.282801
940.0,723,7276.253566
60.0,566,7301.883337
560.0,570,7327.489616
940.0,566,7354.260727
1140.0,518,7377.511908
240.0,602,7405.227606
620.0,428,7425.302037
300.0,470,7446.691688
480.0,521,7471.406413
860.0,491,7493.782547
460.0,602,7521.449058
0.0,556,7546.668325
880.0,559,7571.747246
600.0,649,7600.794085
1040.0,667,7631.002889
940.0,507,7653.965642
580.0,477,7675.501754
560.0,525,7699.368795
620.0,447,7719.423555
680.0,555,7744.551855
500.0,570,7770.284975
640.0,424,7789.228006
900.0,703,7821.079487
2400.0,410,7839.43142
600.0,481,7861.390403
260.0,397,7879.497613
0.0,521,7903.147157
220.0,438,7923.782064
0.0,622,7951.984295
420.0,614,7979.70712
1000.0,418,7998.421536
740.0,566,8024.661484
880.0,784,8060.184456
620.0,547,8085.220803
600.0,524,8108.731053
420.0,716,8141.490312
560.0,685,8172.77567
880.0,577,8199.092484
260.0,461,8219.783242
560.0,564,8245.263319
400.0,539,8270.3309
80.0,393,8288.299269
300.0,478,8310.635005
620.0,623,8339.645097
60.0,495,8362.847306
1120.0,624,8391.197537
340.0,433,8410.648833
