#{"t_start": 1555246690.4109085, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
120.0,849,4.52687
205.0,1168,6.244954
130.0,1047,7.913533
175.0,8517,94.388864
150.0,919,136.726942
175.0,1541,210.438437
110.0,834,251.807095
90.0,589,279.720362
130.0,743,313.882329
110.0,757,348.843632
205.0,1014,396.302373
90.0,576,423.550783
50.0,366,439.754376
325.0,1374,501.492841
20.0,263,512.808873
175.0,992,561.14596
90.0,939,603.174668
80.0,463,624.265669
50.0,398,642.490366
160.0,1656,720.662004
120.0,511,743.856491
50.0,477,765.128619
175.0,821,801.723653
205.0,1097,849.739886
160.0,738,881.504597
90.0,466,901.804882
160.0,758,934.1972
205.0,1218,989.562089
120.0,508,1010.803464
90.0,439,1028.616853
40.0,361,1042.850085
40.0,235,1052.003341
60.0,269,1062.500531
120.0,631,1088.053272
100.0,520,1108.741665
205.0,869,1144.033666
140.0,606,1168.645681
70.0,266,1179.103719
130.0,575,1202.426298
220.0,847,1237.451586
60.0,314,1250.751776
40.0,267,1262.263406
120.0,691,1292.551475
70.0,315,1305.156407
50.0,282,1316.966999
120.0,543,1340.327227
50.0,381,1356.315039
205.0,1675,1433.723844
120.0,724,1465.971637
60.0,447,1485.488896
100.0,496,1507.465954
175.0,883,1547.221205
110.0,613,1573.163657
110.0,577,1598.54204
60.0,349,1613.729003
175.0,765,1647.786277
310.0,1390,1705.037503
80.0,571,1728.411429
50.0,469,1747.807289
130.0,648,1774.057359
370.0,1370,1834.205494
70.0,331,1848.017894
120.0,870,1883.812105
50.0,390,1899.422678
265.0,1037,1942.323547
160.0,829,1976.056969
325.0,1492,2037.494194
40.0,219,2046.271707
340.0,1536,2109.273772
205.0,1013,2150.851098
190.0,1049,2196.715558
520.0,2231,2296.401533
100.0,603,2323.12464
280.0,1672,2396.733425
355.0,1473,2457.578621
1120.0,2390,2555.966064
680.0,1940,2636.080992
355.0,1314,2690.032264
340.0,1597,2756.464085
175.0,1552,2824.01943
110.0,516,2846.011933
660.0,1865,2931.615835
780.0,1696,3008.472666
340.0,1696,3082.91405
250.0,1295,3138.949576
880.0,2343,3240.35442
460.0,2037,3324.764437
355.0,1090,3369.972613
265.0,1386,3428.10664
340.0,1662,3500.673346
220.0,1522,3566.0173
340.0,1567,3634.422841
220.0,1164,3688.8482
120.0,1365,3749.564479
1400.0,1990,3839.477036
1080.0,2262,3939.064051
780.0,2544,4052.626886
150.0,1224,4108.232432
100.0,754,4141.757176
560.0,2073,4237.136902
600.0,1660,4313.043508
540.0,1894,4397.970242
340.0,1358,4460.320963
2275.0,3535,4620.849871
235.0,1048,4667.12791
2850.0,3568,4826.206633
340.0,1538,4891.289937
340.0,2112,4988.412328
2790.0,4150,5174.728847
1240.0,2124,5271.561717
1560.0,2674,5392.669527
1820.0,2850,5523.678546
1080.0,3178,5670.908836
310.0,1619,5744.709633
400.0,2295,5846.885895
2250.0,3391,5999.862716
720.0,2145,6097.613748
370.0,1423,6160.782247
1160.0,2868,6287.709509
1580.0,2645,6408.046009
160.0,1463,6470.953197
2985.0,4198,6655.593257
1280.0,2913,6785.835413
1340.0,2581,6901.767507
250.0,1172,6954.102083
3330.0,4651,7162.823735
2880.0,3886,7336.851808
1060.0,3398,7487.839507
205.0,2188,7585.622634
2125.0,4653,7794.757267
520.0,2295,7897.923234
1460.0,2553,8011.885743
1740.0,3220,8157.043258
920.0,2187,8258.98668
1540.0,2652,8381.548867
540.0,1561,8450.870526
3070.0,2985,8585.191908
600.0,2139,8680.124312
600.0,2221,8780.960324
1280.0,3180,8922.101717
1660.0,2384,9031.544956
2395.0,2900,9161.380874
1900.0,3588,9324.818294
2315.0,2846,9446.37953
295.0,1140,9494.770352
1760.0,2702,9618.477098
2690.0,3288,9771.364838
355.0,1379,9834.274689
2400.0,3297,9984.174321
2880.0,4540,10192.796758
2215.0,3070,10331.673385
960.0,4741,10550.007126
960.0,2099,10640.340127
420.0,1733,10714.405325
110.0,561,10738.224131
90.0,603,10763.782697
385.0,1618,10836.756196
4350.0,5028,11069.829604
680.0,1702,11150.536669
250.0,990,11197.003926
280.0,1526,11267.251353
355.0,1821,11352.979504
1260.0,2011,11444.368866
640.0,1769,11525.572825
3290.0,4199,11717.064605
3605.0,3966,11889.571274
140.0,480,11911.0376
80.0,400,11930.573301
2130.0,2924,12066.910387
220.0,950,12111.984941
355.0,1677,12188.67977
1180.0,2091,12281.552309
4560.0,4055,12457.018662
1520.0,2427,12563.028595
1080.0,2177,12663.611676
265.0,872,12702.337319
280.0,1329,12765.609753
960.0,2187,12867.332887
1960.0,3081,13011.068002
280.0,1198,13068.673518
235.0,1147,13124.192919
2075.0,2862,13257.863106
880.0,1719,13338.298424
3405.0,3548,13498.232021
2730.0,3488,13651.713216
1900.0,2778,13780.814029
4830.0,4352,13975.515156
3160.0,3754,14143.639062
1760.0,2859,14268.426317
3320.0,3462,14419.451335
340.0,1230,14473.161901
1960.0,3099,14607.886957
580.0,1859,14692.563215
295.0,1265,14750.561699
680.0,1691,14831.745466
2140.0,2813,14963.688273
3050.0,3409,15123.403557
1400.0,3183,15268.517704
940.0,1865,15351.892453
3555.0,4209,15546.370405
220.0,712,15581.449618
